country,country_code,sector,subsector,btype,bage,topic,feature,type,detail,estimated,value,unit,source,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Area,Constructed area [Mm²],,0,92.2876096,Mm²,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Area,Heated area [Mm²],,0,85.2892785293236,Mm²,S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Area,Cooled area [Mm²],,0,1.869957,Mm²,,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Area,Number of dwellings/units [Mil.],,0,1.18497315330481,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Area,Number of buildings [Mil.],,0,0.961794353130811,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Tenure/ownership status and distribution,Owner occupied -  dwellings/units  [Mil.],,0,0.677804643690352,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Tenure/ownership status and distribution,Private rented  -  dwellings/units [Mil.],,0,0.322312697698909,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Tenure/ownership status and distribution,Social housing  -  dwellings/units [Mil.],,0,0.184855811915551,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Occupancy,Occupied [Mil.],,0,1.33236884966273,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Occupancy,Vacant [Mil.],,1,0.184276429085806,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Occupancy,Secondary dwellings/ units and others [Mil.],,1,0.045019374521009,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Construction features (U-values),Walls,,0,1.4,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Construction features (U-values),Windows ,,0,2.63875979468429,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Construction features (U-values),Roof ,,0,0.792142517211758,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
Austria,at,Residential sector,Total,Total,1945 - 1969,BUILDING,Construction features (U-values),Floor ,,0,1.39904738501321,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
Austria,at,Residential sector,Total,Total,1945 - 1969,WALLS,construction material,brick,,0,1,dimensionless,Source residential part: Own calculations,,,,
